#query	EC
TARA_ARC_108_MAG_00201_000000000001_1	-
TARA_ARC_108_MAG_00201_000000000001_2	-
TARA_ARC_108_MAG_00201_000000000001_3	-
TARA_ARC_108_MAG_00201_000000000001_4	1.3.1.34
TARA_ARC_108_MAG_00201_000000000001_5	2.3.1.191
TARA_ARC_108_MAG_00201_000000000001_6	-
TARA_ARC_108_MAG_00201_000000000001_7	-
TARA_ARC_108_MAG_00201_000000000001_8	-
TARA_ARC_108_MAG_00201_000000000001_9	-
TARA_ARC_108_MAG_00201_000000000001_10	4.2.1.126
TARA_ARC_108_MAG_00201_000000000001_11	-
TARA_ARC_108_MAG_00201_000000000001_12	-
TARA_ARC_108_MAG_00201_000000000001_13	-
TARA_ARC_108_MAG_00201_000000000001_14	-
TARA_ARC_108_MAG_00201_000000000002_1	2.7.7.3
TARA_ARC_108_MAG_00201_000000000002_2	6.3.2.4
TARA_ARC_108_MAG_00201_000000000002_3	2.7.11.1,6.3.2.4
TARA_ARC_108_MAG_00201_000000000002_4	5.4.99.23
TARA_ARC_108_MAG_00201_000000000003_1	3.6.1.66
TARA_ARC_108_MAG_00201_000000000003_2	-
TARA_ARC_108_MAG_00201_000000000003_3	3.6.3.34
TARA_ARC_108_MAG_00201_000000000003_4	-
TARA_ARC_108_MAG_00201_000000000003_5	-
TARA_ARC_108_MAG_00201_000000000003_6	-
TARA_ARC_108_MAG_00201_000000000003_7	-
TARA_ARC_108_MAG_00201_000000000003_8	-
TARA_ARC_108_MAG_00201_000000000003_9	1.8.4.11
TARA_ARC_108_MAG_00201_000000000003_10	2.7.7.7
TARA_ARC_108_MAG_00201_000000000003_11	-
TARA_ARC_108_MAG_00201_000000000003_12	-
TARA_ARC_108_MAG_00201_000000000003_13	-
TARA_ARC_108_MAG_00201_000000000003_14	-
TARA_ARC_108_MAG_00201_000000000003_15	-
TARA_ARC_108_MAG_00201_000000000003_16	-
TARA_ARC_108_MAG_00201_000000000003_17	-
TARA_ARC_108_MAG_00201_000000000003_18	-
TARA_ARC_108_MAG_00201_000000000003_19	-
TARA_ARC_108_MAG_00201_000000000003_21	-
TARA_ARC_108_MAG_00201_000000000003_23	-
TARA_ARC_108_MAG_00201_000000000003_24	-
TARA_ARC_108_MAG_00201_000000000003_25	1.13.12.16
TARA_ARC_108_MAG_00201_000000000003_27	-
TARA_ARC_108_MAG_00201_000000000003_29	-
TARA_ARC_108_MAG_00201_000000000003_30	6.2.1.26
TARA_ARC_108_MAG_00201_000000000003_31	-
TARA_ARC_108_MAG_00201_000000000003_32	-
TARA_ARC_108_MAG_00201_000000000003_33	-
TARA_ARC_108_MAG_00201_000000000003_34	2.5.1.74
TARA_ARC_108_MAG_00201_000000000003_35	-
TARA_ARC_108_MAG_00201_000000000003_36	-
TARA_ARC_108_MAG_00201_000000000003_37	-
TARA_ARC_108_MAG_00201_000000000003_38	-
TARA_ARC_108_MAG_00201_000000000003_39	-
TARA_ARC_108_MAG_00201_000000000003_40	-
TARA_ARC_108_MAG_00201_000000000003_41	3.5.1.28
TARA_ARC_108_MAG_00201_000000000003_42	-
TARA_ARC_108_MAG_00201_000000000003_43	3.5.99.10
TARA_ARC_108_MAG_00201_000000000003_44	1.2.1.12
TARA_ARC_108_MAG_00201_000000000003_45	2.7.1.11
TARA_ARC_108_MAG_00201_000000000003_46	-
TARA_ARC_108_MAG_00201_000000000003_47	2.3.1.234
TARA_ARC_108_MAG_00201_000000000003_48	-
TARA_ARC_108_MAG_00201_000000000003_49	2.3.1.29
TARA_ARC_108_MAG_00201_000000000003_50	2.5.1.47,4.2.1.22
TARA_ARC_108_MAG_00201_000000000003_51	3.4.21.83
TARA_ARC_108_MAG_00201_000000000003_52	-
TARA_ARC_108_MAG_00201_000000000003_53	-
TARA_ARC_108_MAG_00201_000000000003_54	-
TARA_ARC_108_MAG_00201_000000000003_55	-
TARA_ARC_108_MAG_00201_000000000003_56	-
TARA_ARC_108_MAG_00201_000000000003_57	2.6.1.13
TARA_ARC_108_MAG_00201_000000000004_1	-
TARA_ARC_108_MAG_00201_000000000004_2	-
TARA_ARC_108_MAG_00201_000000000004_3	-
TARA_ARC_108_MAG_00201_000000000004_4	-
TARA_ARC_108_MAG_00201_000000000004_5	-
TARA_ARC_108_MAG_00201_000000000004_6	-
TARA_ARC_108_MAG_00201_000000000004_7	2.8.4.3
TARA_ARC_108_MAG_00201_000000000005_1	-
TARA_ARC_108_MAG_00201_000000000005_2	-
TARA_ARC_108_MAG_00201_000000000005_3	-
TARA_ARC_108_MAG_00201_000000000005_4	3.1.26.4
TARA_ARC_108_MAG_00201_000000000005_5	2.1.2.2
TARA_ARC_108_MAG_00201_000000000005_6	-
TARA_ARC_108_MAG_00201_000000000005_7	2.3.1.179
TARA_ARC_108_MAG_00201_000000000006_1	-
TARA_ARC_108_MAG_00201_000000000006_2	1.3.99.26,1.3.99.28,1.3.99.29,1.3.99.31
TARA_ARC_108_MAG_00201_000000000006_3	1.14.15.24
TARA_ARC_108_MAG_00201_000000000006_4	-
TARA_ARC_108_MAG_00201_000000000006_5	2.4.2.17
TARA_ARC_108_MAG_00201_000000000006_6	1.1.1.23
TARA_ARC_108_MAG_00201_000000000006_7	2.6.1.9,4.1.1.81
TARA_ARC_108_MAG_00201_000000000006_8	3.1.3.15,4.2.1.19
TARA_ARC_108_MAG_00201_000000000006_9	-
TARA_ARC_108_MAG_00201_000000000006_10	5.3.1.16
TARA_ARC_108_MAG_00201_000000000006_11	-
TARA_ARC_108_MAG_00201_000000000006_12	-
TARA_ARC_108_MAG_00201_000000000006_13	3.5.4.19,3.6.1.31
TARA_ARC_108_MAG_00201_000000000007_1	-
TARA_ARC_108_MAG_00201_000000000007_2	-
TARA_ARC_108_MAG_00201_000000000007_3	1.1.1.42
TARA_ARC_108_MAG_00201_000000000007_4	-
TARA_ARC_108_MAG_00201_000000000007_5	-
TARA_ARC_108_MAG_00201_000000000008_1	-
