#query	EC
TARA_ARC_108_MAG_00083_000000000001_1	2.2.1.6
TARA_ARC_108_MAG_00083_000000000001_2	2.2.1.6
TARA_ARC_108_MAG_00083_000000000001_3	-
TARA_ARC_108_MAG_00083_000000000001_4	2.7.13.3
TARA_ARC_108_MAG_00083_000000000001_5	-
TARA_ARC_108_MAG_00083_000000000001_6	-
TARA_ARC_108_MAG_00083_000000000001_7	-
TARA_ARC_108_MAG_00083_000000000002_1	-
TARA_ARC_108_MAG_00083_000000000002_2	-
TARA_ARC_108_MAG_00083_000000000003_1	-
TARA_ARC_108_MAG_00083_000000000003_2	-
TARA_ARC_108_MAG_00083_000000000003_3	-
TARA_ARC_108_MAG_00083_000000000003_4	-
TARA_ARC_108_MAG_00083_000000000003_5	1.1.1.193,3.5.4.26
TARA_ARC_108_MAG_00083_000000000003_6	-
TARA_ARC_108_MAG_00083_000000000003_7	-
TARA_ARC_108_MAG_00083_000000000003_8	-
TARA_ARC_108_MAG_00083_000000000003_9	2.5.1.9
TARA_ARC_108_MAG_00083_000000000003_10	3.5.4.25,4.1.99.12
TARA_ARC_108_MAG_00083_000000000003_11	2.5.1.78
TARA_ARC_108_MAG_00083_000000000003_12	-
TARA_ARC_108_MAG_00083_000000000003_13	-
TARA_ARC_108_MAG_00083_000000000003_14	-
TARA_ARC_108_MAG_00083_000000000003_15	-
TARA_ARC_108_MAG_00083_000000000003_16	-
TARA_ARC_108_MAG_00083_000000000004_1	-
TARA_ARC_108_MAG_00083_000000000004_2	-
TARA_ARC_108_MAG_00083_000000000004_3	-
TARA_ARC_108_MAG_00083_000000000004_4	-
TARA_ARC_108_MAG_00083_000000000004_5	-
TARA_ARC_108_MAG_00083_000000000004_6	-
TARA_ARC_108_MAG_00083_000000000004_7	-
TARA_ARC_108_MAG_00083_000000000004_8	-
TARA_ARC_108_MAG_00083_000000000004_9	-
TARA_ARC_108_MAG_00083_000000000004_10	-
TARA_ARC_108_MAG_00083_000000000005_1	-
TARA_ARC_108_MAG_00083_000000000005_2	-
TARA_ARC_108_MAG_00083_000000000005_3	3.5.1.5
TARA_ARC_108_MAG_00083_000000000005_4	3.5.1.5
TARA_ARC_108_MAG_00083_000000000005_5	-
TARA_ARC_108_MAG_00083_000000000005_6	3.5.1.5
TARA_ARC_108_MAG_00083_000000000005_7	-
TARA_ARC_108_MAG_00083_000000000005_8	-
TARA_ARC_108_MAG_00083_000000000005_9	-
TARA_ARC_108_MAG_00083_000000000005_10	-
TARA_ARC_108_MAG_00083_000000000005_11	-
TARA_ARC_108_MAG_00083_000000000006_1	-
TARA_ARC_108_MAG_00083_000000000006_2	-
TARA_ARC_108_MAG_00083_000000000006_3	-
TARA_ARC_108_MAG_00083_000000000006_4	3.1.1.75
TARA_ARC_108_MAG_00083_000000000006_5	-
TARA_ARC_108_MAG_00083_000000000006_6	-
TARA_ARC_108_MAG_00083_000000000007_1	-
TARA_ARC_108_MAG_00083_000000000007_2	1.1.1.40
TARA_ARC_108_MAG_00083_000000000007_3	2.7.1.15
TARA_ARC_108_MAG_00083_000000000007_4	1.8.4.11
TARA_ARC_108_MAG_00083_000000000007_5	2.6.1.42
TARA_ARC_108_MAG_00083_000000000007_6	-
TARA_ARC_108_MAG_00083_000000000007_7	-
TARA_ARC_108_MAG_00083_000000000007_8	6.3.4.5
TARA_ARC_108_MAG_00083_000000000007_9	4.3.1.19
TARA_ARC_108_MAG_00083_000000000007_10	-
TARA_ARC_108_MAG_00083_000000000007_11	3.1.3.3
TARA_ARC_108_MAG_00083_000000000007_12	3.6.1.55
TARA_ARC_108_MAG_00083_000000000007_13	-
TARA_ARC_108_MAG_00083_000000000007_14	-
TARA_ARC_108_MAG_00083_000000000007_15	2.7.7.19,2.7.7.72
TARA_ARC_108_MAG_00083_000000000008_1	-
TARA_ARC_108_MAG_00083_000000000008_2	-
TARA_ARC_108_MAG_00083_000000000008_3	-
TARA_ARC_108_MAG_00083_000000000008_4	-
TARA_ARC_108_MAG_00083_000000000008_5	-
TARA_ARC_108_MAG_00083_000000000008_6	-
TARA_ARC_108_MAG_00083_000000000009_1	1.1.1.157
TARA_ARC_108_MAG_00083_000000000009_2	-
TARA_ARC_108_MAG_00083_000000000009_3	-
TARA_ARC_108_MAG_00083_000000000009_4	-
TARA_ARC_108_MAG_00083_000000000009_5	2.5.1.17
TARA_ARC_108_MAG_00083_000000000009_6	-
TARA_ARC_108_MAG_00083_000000000009_7	-
TARA_ARC_108_MAG_00083_000000000009_8	-
TARA_ARC_108_MAG_00083_000000000009_9	-
TARA_ARC_108_MAG_00083_000000000009_10	-
TARA_ARC_108_MAG_00083_000000000009_11	2.7.1.191
TARA_ARC_108_MAG_00083_000000000009_12	-
TARA_ARC_108_MAG_00083_000000000009_13	-
TARA_ARC_108_MAG_00083_000000000009_14	2.7.13.3
TARA_ARC_108_MAG_00083_000000000009_15	-
TARA_ARC_108_MAG_00083_000000000009_16	4.1.1.49
TARA_ARC_108_MAG_00083_000000000009_17	-
TARA_ARC_108_MAG_00083_000000000009_18	-
TARA_ARC_108_MAG_00083_000000000009_19	-
TARA_ARC_108_MAG_00083_000000000009_20	-
TARA_ARC_108_MAG_00083_000000000009_21	1.3.8.12
TARA_ARC_108_MAG_00083_000000000009_22	-
TARA_ARC_108_MAG_00083_000000000009_23	-
TARA_ARC_108_MAG_00083_000000000009_24	-
TARA_ARC_108_MAG_00083_000000000009_25	-
TARA_ARC_108_MAG_00083_000000000009_26	3.1.26.3
TARA_ARC_108_MAG_00083_000000000009_27	3.4.21.89
TARA_ARC_108_MAG_00083_000000000009_28	2.7.8.7
TARA_ARC_108_MAG_00083_000000000009_29	2.6.99.2
TARA_ARC_108_MAG_00083_000000000009_30	-
TARA_ARC_108_MAG_00083_000000000009_31	2.7.6.5,3.1.7.2
TARA_ARC_108_MAG_00083_000000000009_32	2.7.7.6
TARA_ARC_108_MAG_00083_000000000009_33	2.7.6.3,4.1.2.25
TARA_ARC_108_MAG_00083_000000000009_34	-
TARA_ARC_108_MAG_00083_000000000009_35	1.17.7.4
TARA_ARC_108_MAG_00083_000000000009_36	-
TARA_ARC_108_MAG_00083_000000000010_1	-
TARA_ARC_108_MAG_00083_000000000010_2	1.17.4.1
TARA_ARC_108_MAG_00083_000000000011_1	-
TARA_ARC_108_MAG_00083_000000000011_2	1.4.5.1
TARA_ARC_108_MAG_00083_000000000011_3	-
TARA_ARC_108_MAG_00083_000000000011_4	-
TARA_ARC_108_MAG_00083_000000000012_1	-
TARA_ARC_108_MAG_00083_000000000012_2	-
TARA_ARC_108_MAG_00083_000000000012_3	3.4.21.92
TARA_ARC_108_MAG_00083_000000000012_4	-
TARA_ARC_108_MAG_00083_000000000012_5	-
TARA_ARC_108_MAG_00083_000000000012_6	-
TARA_ARC_108_MAG_00083_000000000012_7	-
TARA_ARC_108_MAG_00083_000000000012_8	-
TARA_ARC_108_MAG_00083_000000000012_9	-
TARA_ARC_108_MAG_00083_000000000012_10	-
TARA_ARC_108_MAG_00083_000000000013_1	3.5.99.2
TARA_ARC_108_MAG_00083_000000000013_2	-
TARA_ARC_108_MAG_00083_000000000013_3	-
TARA_ARC_108_MAG_00083_000000000013_4	4.2.1.155
TARA_ARC_108_MAG_00083_000000000013_5	-
TARA_ARC_108_MAG_00083_000000000014_1	-
TARA_ARC_108_MAG_00083_000000000014_2	-
TARA_ARC_108_MAG_00083_000000000014_3	-
TARA_ARC_108_MAG_00083_000000000014_4	1.1.99.1
TARA_ARC_108_MAG_00083_000000000014_5	-
TARA_ARC_108_MAG_00083_000000000014_6	-
TARA_ARC_108_MAG_00083_000000000015_1	-
TARA_ARC_108_MAG_00083_000000000015_2	-
TARA_ARC_108_MAG_00083_000000000015_3	-
TARA_ARC_108_MAG_00083_000000000015_4	1.5.1.20
TARA_ARC_108_MAG_00083_000000000015_5	-
TARA_ARC_108_MAG_00083_000000000015_6	1.2.5.3
TARA_ARC_108_MAG_00083_000000000015_7	6.1.1.9
TARA_ARC_108_MAG_00083_000000000015_8	-
TARA_ARC_108_MAG_00083_000000000015_9	2.6.1.9
TARA_ARC_108_MAG_00083_000000000015_10	2.6.1.44,2.6.1.45,2.6.1.51
TARA_ARC_108_MAG_00083_000000000015_11	-
TARA_ARC_108_MAG_00083_000000000015_12	-
TARA_ARC_108_MAG_00083_000000000015_13	-
TARA_ARC_108_MAG_00083_000000000015_14	-
TARA_ARC_108_MAG_00083_000000000015_15	-
TARA_ARC_108_MAG_00083_000000000015_17	-
TARA_ARC_108_MAG_00083_000000000015_18	-
TARA_ARC_108_MAG_00083_000000000015_19	2.1.1.77
TARA_ARC_108_MAG_00083_000000000015_20	-
TARA_ARC_108_MAG_00083_000000000015_21	1.13.11.27
TARA_ARC_108_MAG_00083_000000000015_22	-
TARA_ARC_108_MAG_00083_000000000016_1	-
TARA_ARC_108_MAG_00083_000000000016_2	-
TARA_ARC_108_MAG_00083_000000000016_3	3.5.1.16
TARA_ARC_108_MAG_00083_000000000016_4	-
TARA_ARC_108_MAG_00083_000000000016_5	-
TARA_ARC_108_MAG_00083_000000000016_6	-
TARA_ARC_108_MAG_00083_000000000017_1	-
TARA_ARC_108_MAG_00083_000000000017_2	-
TARA_ARC_108_MAG_00083_000000000017_3	-
TARA_ARC_108_MAG_00083_000000000017_4	-
TARA_ARC_108_MAG_00083_000000000017_5	-
TARA_ARC_108_MAG_00083_000000000018_1	6.3.1.2
TARA_ARC_108_MAG_00083_000000000018_2	-
TARA_ARC_108_MAG_00083_000000000018_3	1.1.1.1,1.1.1.61
TARA_ARC_108_MAG_00083_000000000018_4	3.4.21.107
TARA_ARC_108_MAG_00083_000000000019_1	-
TARA_ARC_108_MAG_00083_000000000019_2	-
TARA_ARC_108_MAG_00083_000000000020_1	2.7.7.6
TARA_ARC_108_MAG_00083_000000000020_2	-
TARA_ARC_108_MAG_00083_000000000020_3	-
TARA_ARC_108_MAG_00083_000000000020_4	-
TARA_ARC_108_MAG_00083_000000000020_5	-
TARA_ARC_108_MAG_00083_000000000020_6	-
TARA_ARC_108_MAG_00083_000000000020_7	-
TARA_ARC_108_MAG_00083_000000000020_8	-
TARA_ARC_108_MAG_00083_000000000020_9	-
TARA_ARC_108_MAG_00083_000000000020_10	-
TARA_ARC_108_MAG_00083_000000000021_1	3.1.1.5
TARA_ARC_108_MAG_00083_000000000021_2	-
TARA_ARC_108_MAG_00083_000000000021_3	1.3.1.1
TARA_ARC_108_MAG_00083_000000000021_4	1.3.1.1
TARA_ARC_108_MAG_00083_000000000021_5	-
TARA_ARC_108_MAG_00083_000000000021_6	3.5.1.6,3.5.1.87
TARA_ARC_108_MAG_00083_000000000021_7	3.5.2.2
TARA_ARC_108_MAG_00083_000000000021_9	-
TARA_ARC_108_MAG_00083_000000000021_10	-
TARA_ARC_108_MAG_00083_000000000021_11	-
TARA_ARC_108_MAG_00083_000000000021_12	-
TARA_ARC_108_MAG_00083_000000000021_13	-
TARA_ARC_108_MAG_00083_000000000021_14	-
TARA_ARC_108_MAG_00083_000000000021_15	-
TARA_ARC_108_MAG_00083_000000000022_1	-
TARA_ARC_108_MAG_00083_000000000022_2	-
TARA_ARC_108_MAG_00083_000000000022_3	-
TARA_ARC_108_MAG_00083_000000000022_4	-
TARA_ARC_108_MAG_00083_000000000022_5	-
TARA_ARC_108_MAG_00083_000000000022_6	2.1.1.181
TARA_ARC_108_MAG_00083_000000000022_7	1.13.11.5
TARA_ARC_108_MAG_00083_000000000022_8	5.2.1.2,5.2.1.4
TARA_ARC_108_MAG_00083_000000000023_1	-
TARA_ARC_108_MAG_00083_000000000023_2	-
TARA_ARC_108_MAG_00083_000000000023_3	-
TARA_ARC_108_MAG_00083_000000000024_1	-
TARA_ARC_108_MAG_00083_000000000024_2	2.5.1.47,2.5.1.49
TARA_ARC_108_MAG_00083_000000000024_3	-
TARA_ARC_108_MAG_00083_000000000024_4	-
TARA_ARC_108_MAG_00083_000000000024_5	-
TARA_ARC_108_MAG_00083_000000000024_6	-
TARA_ARC_108_MAG_00083_000000000024_7	-
TARA_ARC_108_MAG_00083_000000000024_8	-
TARA_ARC_108_MAG_00083_000000000024_9	3.6.4.13
TARA_ARC_108_MAG_00083_000000000024_10	-
TARA_ARC_108_MAG_00083_000000000024_11	-
TARA_ARC_108_MAG_00083_000000000024_12	3.1.1.5
TARA_ARC_108_MAG_00083_000000000024_13	-
TARA_ARC_108_MAG_00083_000000000024_14	6.5.1.1,6.5.1.6,6.5.1.7
TARA_ARC_108_MAG_00083_000000000024_15	-
TARA_ARC_108_MAG_00083_000000000025_1	2.7.7.80
TARA_ARC_108_MAG_00083_000000000025_2	3.6.1.63
TARA_ARC_108_MAG_00083_000000000025_3	2.7.4.23
TARA_ARC_108_MAG_00083_000000000025_4	2.7.8.37
TARA_ARC_108_MAG_00083_000000000025_5	-
TARA_ARC_108_MAG_00083_000000000025_6	4.7.1.1
TARA_ARC_108_MAG_00083_000000000025_7	2.7.8.37
TARA_ARC_108_MAG_00083_000000000025_8	2.7.8.37
TARA_ARC_108_MAG_00083_000000000025_9	2.7.8.37
TARA_ARC_108_MAG_00083_000000000025_10	-
TARA_ARC_108_MAG_00083_000000000025_11	2.3.1.28
TARA_ARC_108_MAG_00083_000000000025_12	-
TARA_ARC_108_MAG_00083_000000000025_13	-
TARA_ARC_108_MAG_00083_000000000025_14	-
TARA_ARC_108_MAG_00083_000000000025_15	3.6.3.28
TARA_ARC_108_MAG_00083_000000000025_16	3.6.1.23
TARA_ARC_108_MAG_00083_000000000025_17	4.1.1.36,6.3.2.5
TARA_ARC_108_MAG_00083_000000000025_18	-
TARA_ARC_108_MAG_00083_000000000025_19	-
TARA_ARC_108_MAG_00083_000000000025_20	-
TARA_ARC_108_MAG_00083_000000000025_21	3.1.1.83
TARA_ARC_108_MAG_00083_000000000025_22	6.3.2.3
TARA_ARC_108_MAG_00083_000000000025_23	-
TARA_ARC_108_MAG_00083_000000000025_24	2.1.1.198
TARA_ARC_108_MAG_00083_000000000025_25	-
TARA_ARC_108_MAG_00083_000000000025_26	2.7.7.59
TARA_ARC_108_MAG_00083_000000000025_28	-
TARA_ARC_108_MAG_00083_000000000025_29	-
TARA_ARC_108_MAG_00083_000000000025_30	6.1.1.2
TARA_ARC_108_MAG_00083_000000000025_31	-
TARA_ARC_108_MAG_00083_000000000026_1	1.1.1.36
TARA_ARC_108_MAG_00083_000000000026_2	-
TARA_ARC_108_MAG_00083_000000000026_3	2.1.1.223
TARA_ARC_108_MAG_00083_000000000026_4	-
TARA_ARC_108_MAG_00083_000000000026_5	2.5.1.90
TARA_ARC_108_MAG_00083_000000000026_6	2.7.1.148
TARA_ARC_108_MAG_00083_000000000026_7	-
TARA_ARC_108_MAG_00083_000000000026_8	1.5.5.1
TARA_ARC_108_MAG_00083_000000000026_9	-
TARA_ARC_108_MAG_00083_000000000026_10	-
TARA_ARC_108_MAG_00083_000000000026_11	2.10.1.1
TARA_ARC_108_MAG_00083_000000000026_12	-
