#query	EC
TARA_ARC_108_MAG_00117_000000000001_2	-
TARA_ARC_108_MAG_00117_000000000001_3	-
TARA_ARC_108_MAG_00117_000000000001_4	2.7.1.71,4.2.3.4
TARA_ARC_108_MAG_00117_000000000001_5	2.7.1.71
TARA_ARC_108_MAG_00117_000000000001_6	-
TARA_ARC_108_MAG_00117_000000000001_7	-
TARA_ARC_108_MAG_00117_000000000001_8	-
TARA_ARC_108_MAG_00117_000000000001_9	-
TARA_ARC_108_MAG_00117_000000000001_10	-
TARA_ARC_108_MAG_00117_000000000001_12	-
TARA_ARC_108_MAG_00117_000000000002_2	-
TARA_ARC_108_MAG_00117_000000000002_3	-
TARA_ARC_108_MAG_00117_000000000002_5	-
TARA_ARC_108_MAG_00117_000000000003_1	-
TARA_ARC_108_MAG_00117_000000000003_3	1.1.1.36
TARA_ARC_108_MAG_00117_000000000003_4	2.3.1.9
TARA_ARC_108_MAG_00117_000000000004_3	-
TARA_ARC_108_MAG_00117_000000000004_4	-
TARA_ARC_108_MAG_00117_000000000004_5	-
TARA_ARC_108_MAG_00117_000000000004_6	-
TARA_ARC_108_MAG_00117_000000000004_7	-
TARA_ARC_108_MAG_00117_000000000004_8	-
TARA_ARC_108_MAG_00117_000000000005_2	-
TARA_ARC_108_MAG_00117_000000000005_3	-
TARA_ARC_108_MAG_00117_000000000005_4	1.17.1.9
TARA_ARC_108_MAG_00117_000000000005_5	-
TARA_ARC_108_MAG_00117_000000000005_6	-
TARA_ARC_108_MAG_00117_000000000005_7	-
TARA_ARC_108_MAG_00117_000000000005_8	-
TARA_ARC_108_MAG_00117_000000000005_9	-
TARA_ARC_108_MAG_00117_000000000005_10	-
TARA_ARC_108_MAG_00117_000000000005_11	-
TARA_ARC_108_MAG_00117_000000000005_12	-
TARA_ARC_108_MAG_00117_000000000005_13	-
TARA_ARC_108_MAG_00117_000000000006_1	-
TARA_ARC_108_MAG_00117_000000000006_2	-
TARA_ARC_108_MAG_00117_000000000006_3	2.3.1.128
TARA_ARC_108_MAG_00117_000000000006_4	2.3.1.234
TARA_ARC_108_MAG_00117_000000000006_5	-
TARA_ARC_108_MAG_00117_000000000006_7	-
TARA_ARC_108_MAG_00117_000000000006_8	2.6.1.42
TARA_ARC_108_MAG_00117_000000000007_1	-
TARA_ARC_108_MAG_00117_000000000007_2	-
TARA_ARC_108_MAG_00117_000000000007_3	-
TARA_ARC_108_MAG_00117_000000000007_4	-
TARA_ARC_108_MAG_00117_000000000007_5	-
TARA_ARC_108_MAG_00117_000000000007_6	-
TARA_ARC_108_MAG_00117_000000000007_7	-
TARA_ARC_108_MAG_00117_000000000007_8	-
TARA_ARC_108_MAG_00117_000000000008_1	-
TARA_ARC_108_MAG_00117_000000000008_2	5.4.99.18
TARA_ARC_108_MAG_00117_000000000008_3	6.3.4.18
TARA_ARC_108_MAG_00117_000000000008_4	-
TARA_ARC_108_MAG_00117_000000000008_5	-
TARA_ARC_108_MAG_00117_000000000008_6	-
TARA_ARC_108_MAG_00117_000000000008_7	-
TARA_ARC_108_MAG_00117_000000000008_8	-
TARA_ARC_108_MAG_00117_000000000008_9	1.1.1.86
TARA_ARC_108_MAG_00117_000000000008_11	-
TARA_ARC_108_MAG_00117_000000000008_12	5.4.2.10
TARA_ARC_108_MAG_00117_000000000008_13	2.5.1.15,2.7.6.3
TARA_ARC_108_MAG_00117_000000000008_14	1.13.11.81,4.1.2.25,5.1.99.8
TARA_ARC_108_MAG_00117_000000000008_15	-
TARA_ARC_108_MAG_00117_000000000009_1	4.3.1.19
TARA_ARC_108_MAG_00117_000000000009_3	1.20.4.1
TARA_ARC_108_MAG_00117_000000000009_4	-
TARA_ARC_108_MAG_00117_000000000009_5	6.2.1.34
TARA_ARC_108_MAG_00117_000000000009_6	-
TARA_ARC_108_MAG_00117_000000000009_7	4.2.1.155
TARA_ARC_108_MAG_00117_000000000009_8	-
TARA_ARC_108_MAG_00117_000000000009_9	3.5.3.26
TARA_ARC_108_MAG_00117_000000000009_10	4.3.2.3
TARA_ARC_108_MAG_00117_000000000009_11	3.5.1.41
TARA_ARC_108_MAG_00117_000000000009_12	3.5.2.17
TARA_ARC_108_MAG_00117_000000000009_13	-
TARA_ARC_108_MAG_00117_000000000009_14	-
TARA_ARC_108_MAG_00117_000000000010_1	-
TARA_ARC_108_MAG_00117_000000000010_2	-
TARA_ARC_108_MAG_00117_000000000010_3	3.6.3.55
TARA_ARC_108_MAG_00117_000000000011_1	-
TARA_ARC_108_MAG_00117_000000000011_2	-
TARA_ARC_108_MAG_00117_000000000011_3	-
TARA_ARC_108_MAG_00117_000000000011_4	2.1.3.15,6.4.1.3
TARA_ARC_108_MAG_00117_000000000011_5	-
TARA_ARC_108_MAG_00117_000000000011_6	-
TARA_ARC_108_MAG_00117_000000000011_8	-
TARA_ARC_108_MAG_00117_000000000012_1	2.7.7.7
TARA_ARC_108_MAG_00117_000000000012_2	-
TARA_ARC_108_MAG_00117_000000000012_3	6.1.1.4
TARA_ARC_108_MAG_00117_000000000013_1	2.6.1.77
TARA_ARC_108_MAG_00117_000000000013_2	-
TARA_ARC_108_MAG_00117_000000000013_3	-
TARA_ARC_108_MAG_00117_000000000013_5	-
TARA_ARC_108_MAG_00117_000000000013_6	2.1.1.207
TARA_ARC_108_MAG_00117_000000000013_7	-
TARA_ARC_108_MAG_00117_000000000014_2	-
TARA_ARC_108_MAG_00117_000000000014_3	-
TARA_ARC_108_MAG_00117_000000000015_1	6.1.1.9
TARA_ARC_108_MAG_00117_000000000015_2	-
TARA_ARC_108_MAG_00117_000000000015_4	2.6.1.9
TARA_ARC_108_MAG_00117_000000000015_5	2.6.1.44,2.6.1.45,2.6.1.51
TARA_ARC_108_MAG_00117_000000000016_1	-
TARA_ARC_108_MAG_00117_000000000016_4	-
TARA_ARC_108_MAG_00117_000000000017_1	4.1.99.3
TARA_ARC_108_MAG_00117_000000000017_3	2.1.1.80,3.1.1.61
TARA_ARC_108_MAG_00117_000000000017_4	-
TARA_ARC_108_MAG_00117_000000000017_5	-
TARA_ARC_108_MAG_00117_000000000018_1	2.7.7.6
TARA_ARC_108_MAG_00117_000000000018_2	2.7.7.6
TARA_ARC_108_MAG_00117_000000000019_1	4.3.2.2
TARA_ARC_108_MAG_00117_000000000019_2	-
TARA_ARC_108_MAG_00117_000000000019_3	-
TARA_ARC_108_MAG_00117_000000000019_4	-
TARA_ARC_108_MAG_00117_000000000019_5	-
TARA_ARC_108_MAG_00117_000000000019_6	4.2.1.3
TARA_ARC_108_MAG_00117_000000000019_7	-
TARA_ARC_108_MAG_00117_000000000020_1	4.2.1.148
TARA_ARC_108_MAG_00117_000000000020_2	-
TARA_ARC_108_MAG_00117_000000000020_3	-
TARA_ARC_108_MAG_00117_000000000020_4	3.1.2.30,4.1.3.34
TARA_ARC_108_MAG_00117_000000000020_5	-
TARA_ARC_108_MAG_00117_000000000020_6	-
TARA_ARC_108_MAG_00117_000000000020_7	1.1.1.37
TARA_ARC_108_MAG_00117_000000000021_1	3.1.26.12
TARA_ARC_108_MAG_00117_000000000021_2	-
TARA_ARC_108_MAG_00117_000000000021_3	2.7.13.3
